iter	Passed	Remaining
0	1	2415
1	3	2285
2	5	2223
3	6	2216
4	8	2187
5	8	1867
6	10	1919
7	11	1867
8	12	1738
9	14	1800
10	15	1828
11	16	1712
12	17	1744
13	19	1758
14	20	1770
15	22	1785
16	22	1682
17	24	1700
18	25	1716
19	27	1714
20	28	1732
21	30	1755
22	32	1773
23	33	1786
24	35	1800
25	37	1812
26	38	1819
27	40	1825
28	40	1775
29	42	1779
30	43	1781
31	45	1788
32	47	1794
33	47	1742
34	48	1750
35	50	1755
36	51	1757
37	53	1763
38	55	1769
39	56	1772
40	57	1744
41	58	1749
42	60	1760
43	67	1910
44	75	2079
45	81	2204
46	83	2210
47	86	2229
48	89	2264
49	91	2268
50	93	2261
51	94	2255
52	96	2249
53	98	2244
54	98	2209
55	100	2202
56	101	2198
57	103	2193
58	105	2190
59	106	2184
60	108	2180
61	110	2177
62	111	2174
63	113	2172
64	115	2172
65	117	2172
66	119	2173
67	120	2169
68	122	2163
69	124	2160
70	125	2154
71	127	2148
72	128	2144
73	130	2139
74	131	2136
75	133	2132
76	135	2129
77	135	2103
78	137	2102
79	138	2099
80	140	2099
81	142	2096
82	144	2094
83	145	2090
84	147	2087
85	148	2083
86	150	2080
87	152	2079
88	153	2075
89	155	2069
90	157	2068
91	158	2064
92	160	2061
93	162	2059
94	163	2055
95	165	2053
96	166	2049
97	167	2029
98	168	2025
99	170	2023
100	172	2023
101	173	2020
102	175	2019
103	177	2017
104	178	2014
105	180	2012
106	181	2007
107	183	2005
108	185	2002
109	186	2001
110	188	2001
111	190	2002
112	192	2003
113	194	2001
114	196	2002
115	198	2003
116	199	2003
117	201	2000
118	203	1998
119	204	1995
120	206	1993
121	208	1991
122	209	1989
123	211	1986
124	213	1984
125	213	1967
126	214	1964
127	216	1961
128	217	1959
129	219	1955
130	220	1952
131	222	1950
132	224	1948
133	225	1945
134	227	1945
135	229	1942
136	230	1940
137	232	1938
138	233	1930
139	234	1928
140	236	1927
141	238	1925
142	239	1921
143	241	1919
144	243	1917
145	244	1915
146	246	1911
147	247	1908
148	248	1904
149	250	1900
150	250	1889
151	252	1886
152	253	1884
153	255	1880
154	256	1878
155	257	1873
156	259	1869
157	260	1866
158	261	1858
159	262	1855
160	264	1852
161	266	1851
162	267	1850
163	269	1850
164	271	1850
165	273	1849
166	275	1848
167	276	1846
168	278	1844
169	279	1842
170	281	1841
171	283	1838
172	284	1837
173	286	1835
174	287	1832
175	289	1830
176	291	1828
177	292	1826
178	294	1825
179	295	1823
180	297	1821
181	299	1820
182	300	1818
183	302	1816
184	304	1814
185	305	1812
186	307	1810
187	308	1807
188	310	1805
189	311	1803
190	313	1802
191	315	1800
192	315	1792
193	317	1790
194	318	1788
195	319	1780
196	320	1778
197	322	1776
198	324	1774
199	325	1773
200	327	1771
201	328	1768
202	330	1767
203	332	1766
204	333	1765
205	335	1763
206	337	1761
207	338	1760
208	340	1759
209	341	1757
210	343	1755
211	345	1753
212	346	1752
213	348	1750
214	350	1749
215	351	1747
216	353	1746
217	355	1744
218	356	1741
219	358	1740
220	359	1738
221	361	1735
222	362	1734
223	364	1732
224	365	1730
225	367	1728
226	369	1727
227	370	1725
228	372	1724
229	374	1722
230	375	1720
231	377	1719
232	379	1717
233	380	1715
234	382	1714
235	383	1713
236	385	1711
237	387	1709
238	388	1708
239	390	1707
240	392	1705
241	393	1703
242	395	1701
243	396	1698
244	398	1696
245	399	1694
246	401	1691
247	402	1689
248	403	1686
249	405	1686
250	407	1686
251	409	1686
252	411	1684
253	413	1683
254	414	1681
255	416	1680
256	418	1678
257	419	1677
258	421	1675
259	422	1673
260	424	1671
261	425	1669
262	427	1667
263	428	1665
264	430	1663
265	432	1662
266	433	1660
267	435	1658
268	436	1656
269	438	1654
270	440	1653
271	441	1651
272	443	1649
273	444	1648
274	446	1646
275	448	1644
276	449	1642
277	451	1641
278	452	1639
279	454	1637
280	456	1636
281	457	1634
282	459	1632
283	460	1630
284	462	1629
285	464	1627
286	465	1625
287	467	1624
288	469	1622
289	470	1620
290	472	1619
291	473	1617
292	475	1615
293	476	1613
294	477	1609
295	479	1607
296	480	1605
297	482	1603
298	483	1602
299	485	1600
300	486	1598
301	488	1597
302	490	1595
303	491	1593
304	493	1591
305	495	1590
306	496	1588
307	498	1586
308	499	1585
309	501	1583
310	503	1582
311	504	1580
312	506	1578
313	507	1576
314	509	1575
315	511	1573
316	512	1571
317	514	1570
318	515	1568
319	517	1566
320	518	1565
321	520	1562
322	520	1556
323	522	1555
324	523	1553
325	525	1552
326	526	1550
327	527	1544
328	528	1542
329	530	1541
330	532	1540
331	533	1538
332	535	1535
333	536	1534
334	538	1532
335	539	1530
336	540	1525
337	540	1521
338	542	1519
339	543	1517
340	544	1513
341	546	1512
342	547	1510
343	548	1505
344	549	1503
345	550	1501
346	552	1499
347	553	1497
348	555	1495
349	556	1493
350	558	1491
351	559	1490
352	560	1485
353	562	1485
354	564	1485
355	566	1484
356	568	1483
357	569	1481
358	571	1480
359	573	1479
360	574	1477
361	575	1474
362	577	1472
363	578	1471
364	580	1469
365	582	1467
366	583	1466
367	585	1464
368	586	1463
369	588	1461
370	590	1460
371	591	1458
372	593	1457
373	595	1456
374	596	1454
375	598	1453
376	600	1451
377	601	1450
378	603	1448
379	605	1447
380	606	1446
381	608	1444
382	610	1443
383	611	1441
384	613	1440
385	614	1438
386	616	1436
387	618	1435
388	619	1433
389	621	1432
390	623	1430
391	624	1429
392	626	1427
393	627	1426
394	629	1424
395	631	1423
396	632	1421
397	634	1420
398	635	1418
399	637	1416
400	639	1415
401	640	1413
402	642	1412
403	644	1410
404	645	1409
405	647	1407
406	648	1406
407	650	1404
408	652	1403
409	653	1401
410	655	1400
411	657	1398
412	658	1397
413	660	1395
414	661	1394
415	663	1392
416	665	1390
417	666	1389
418	667	1385
419	668	1383
420	670	1382
421	672	1380
422	673	1379
423	675	1377
424	677	1376
425	678	1375
426	680	1373
427	681	1371
428	683	1370
429	684	1366
430	685	1365
431	687	1363
432	688	1360
433	689	1358
434	691	1356
435	692	1354
436	693	1352
437	695	1350
438	696	1348
439	697	1346
440	699	1344
441	699	1340
442	700	1338
443	702	1336
444	704	1335
445	705	1334
446	707	1333
447	709	1332
448	711	1331
449	713	1329
450	714	1328
451	716	1326
452	718	1325
453	719	1323
454	721	1322
455	723	1321
456	724	1319
457	726	1317
458	726	1313
459	728	1312
460	729	1310
461	731	1309
462	732	1307
463	734	1305
464	736	1304
465	737	1302
466	739	1301
467	741	1300
468	742	1298
469	744	1296
470	745	1295
471	747	1293
472	748	1292
473	750	1290
474	752	1289
475	753	1287
476	753	1283
477	755	1281
478	757	1280
479	758	1278
480	760	1277
481	761	1275
482	763	1273
483	765	1272
484	766	1271
485	768	1269
486	770	1268
487	771	1266
488	773	1265
489	775	1264
490	777	1262
491	777	1258
492	778	1257
493	780	1255
494	782	1254
495	783	1252
496	785	1251
497	786	1249
498	788	1248
499	790	1246
500	791	1245
501	793	1243
502	794	1242
503	796	1240
504	798	1239
505	799	1237
506	801	1236
507	802	1234
508	804	1232
509	806	1231
510	807	1229
511	809	1228
512	811	1226
513	812	1225
514	814	1223
515	815	1222
516	817	1220
517	819	1219
518	820	1217
519	822	1216
520	824	1214
521	825	1213
522	827	1212
523	829	1210
524	831	1209
525	832	1208
526	834	1206
527	835	1204
528	836	1202
529	838	1201
530	840	1199
531	842	1198
532	843	1196
533	845	1195
534	847	1193
535	848	1192
536	850	1190
537	852	1189
538	853	1188
539	855	1186
540	857	1185
541	859	1184
542	860	1182
543	862	1181
544	864	1179
545	865	1178
546	867	1176
547	869	1175
548	870	1173
549	870	1170
550	872	1168
551	873	1166
552	875	1164
553	876	1163
554	878	1161
555	880	1160
556	881	1158
557	883	1157
558	885	1155
559	886	1154
560	888	1152
561	889	1151
562	891	1149
563	893	1148
564	895	1146
565	896	1145
566	898	1143
567	900	1142
568	901	1140
569	903	1139
570	904	1137
571	906	1136
572	908	1134
573	909	1133
574	911	1131
575	913	1130
576	914	1128
577	916	1127
578	917	1125
579	919	1124
580	921	1122
581	922	1120
582	924	1119
583	925	1117
584	927	1116
585	929	1114
586	931	1113
587	932	1111
588	934	1110
589	935	1108
590	937	1107
591	939	1105
592	940	1104
593	942	1102
594	943	1100
595	945	1099
596	947	1097
597	948	1096
598	950	1094
599	952	1093
600	953	1091
601	955	1090
602	957	1088
603	958	1087
604	960	1085
605	961	1084
606	963	1082
607	965	1080
608	966	1079
609	968	1078
610	970	1076
611	970	1073
612	972	1071
613	972	1069
614	974	1067
615	976	1066
616	977	1064
617	979	1063
618	981	1062
619	982	1060
620	984	1059
621	986	1057
622	987	1056
623	989	1054
624	991	1052
625	991	1049
626	992	1048
627	993	1045
628	993	1042
629	993	1039
630	995	1037
631	996	1036
632	998	1034
633	999	1032
634	1000	1030
635	1002	1029
636	1002	1026
637	1003	1024
638	1004	1021
639	1006	1020
640	1007	1018
641	1008	1016
642	1010	1015
643	1011	1013
644	1013	1011
645	1014	1010
646	1016	1008
647	1017	1006
648	1019	1004
649	1020	1003
650	1021	1001
651	1023	999
652	1024	998
653	1026	996
654	1027	994
655	1028	992
656	1030	991
657	1031	989
658	1033	987
659	1033	985
660	1035	983
661	1036	981
662	1038	980
663	1039	978
664	1041	977
665	1042	975
666	1043	973
667	1045	971
668	1046	970
669	1048	968
670	1048	966
671	1049	963
672	1050	961
673	1052	960
674	1053	958
675	1055	956
676	1056	954
677	1057	953
678	1059	951
679	1060	949
680	1061	948
681	1063	946
682	1064	944
683	1066	943
684	1067	941
685	1068	939
686	1070	937
687	1071	936
688	1072	934
689	1074	932
690	1075	930
691	1077	929
692	1078	927
693	1079	925
694	1081	924
695	1082	922
696	1084	920
697	1085	919
698	1086	917
699	1088	915
700	1089	913
701	1089	911
702	1091	909
703	1092	907
704	1093	906
705	1095	904
706	1096	902
707	1098	901
708	1099	899
709	1100	897
710	1102	895
711	1103	894
712	1104	891
713	1105	890
714	1107	888
715	1107	886
716	1107	883
717	1109	882
718	1110	880
719	1111	878
720	1113	877
721	1114	875
722	1116	873
723	1117	872
724	1118	870
725	1120	868
726	1121	866
727	1122	865
728	1124	863
729	1125	861
730	1126	860
731	1128	858
732	1129	856
733	1131	855
734	1132	853
735	1133	851
736	1134	849
737	1136	848
738	1137	846
739	1137	844
740	1139	842
741	1140	840
742	1142	839
743	1143	837
744	1144	836
745	1146	834
746	1147	832
747	1149	831
748	1150	829
749	1150	826
750	1152	825
751	1153	823
752	1154	822
753	1156	820
754	1157	818
755	1158	817
756	1160	815
757	1161	813
758	1163	812
759	1163	809
760	1164	808
761	1164	805
762	1166	804
763	1167	802
764	1169	800
765	1170	799
766	1171	797
767	1173	795
768	1174	794
769	1175	792
770	1177	790
771	1178	789
772	1179	787
773	1180	785
774	1181	783
775	1183	782
776	1184	780
777	1185	778
778	1186	776
779	1187	774
780	1188	773
781	1190	771
782	1191	770
783	1192	768
784	1194	766
785	1195	765
786	1196	763
787	1198	761
788	1199	760
789	1201	758
790	1202	757
791	1204	755
792	1205	754
793	1205	751
794	1207	750
795	1208	748
796	1209	746
797	1211	745
798	1211	743
799	1213	741
800	1214	739
801	1215	738
802	1217	736
803	1218	734
804	1218	732
805	1219	731
806	1221	729
807	1224	728
808	1225	727
809	1226	725
810	1227	723
811	1228	721
812	1230	720
813	1231	718
814	1232	716
815	1233	715
816	1234	713
817	1235	711
818	1236	709
819	1237	707
820	1238	706
821	1239	704
822	1240	702
823	1242	700
824	1243	699
825	1244	697
826	1246	696
827	1247	694
828	1248	692
829	1250	691
830	1251	689
831	1252	688
832	1254	686
833	1255	685
834	1257	683
835	1258	681
836	1259	680
837	1261	678
838	1262	677
839	1263	675
840	1265	674
841	1266	672
842	1267	670
843	1268	668
844	1269	667
845	1271	665
846	1273	664
847	1274	662
848	1276	661
849	1276	659
850	1278	657
851	1279	656
852	1281	654
853	1282	653
854	1283	651
855	1285	650
856	1286	648
857	1288	647
858	1289	645
859	1290	643
860	1292	642
861	1292	640
862	1294	638
863	1295	637
864	1297	635
865	1298	634
866	1299	632
867	1301	631
868	1302	629
869	1303	627
870	1305	626
871	1306	624
872	1308	623
873	1309	621
874	1310	620
875	1312	618
876	1313	617
877	1315	615
878	1316	614
879	1317	612
880	1319	611
881	1320	609
882	1322	607
883	1323	606
884	1324	604
885	1325	602
886	1326	601
887	1328	599
888	1329	598
889	1331	596
890	1333	595
891	1333	593
892	1335	592
893	1336	590
894	1338	589
895	1339	587
896	1341	586
897	1343	584
898	1344	583
899	1346	581
900	1347	580
901	1349	579
902	1351	577
903	1351	575
904	1352	573
905	1354	572
906	1356	571
907	1357	569
908	1359	568
909	1361	566
910	1362	565
911	1364	564
912	1365	562
913	1367	561
914	1369	559
915	1369	557
916	1371	556
917	1372	554
918	1374	553
919	1375	551
920	1376	549
921	1377	548
922	1379	546
923	1380	545
924	1382	544
925	1384	542
926	1384	540
927	1384	538
928	1386	537
929	1387	535
930	1388	534
931	1390	532
932	1392	531
933	1393	529
934	1395	528
935	1397	526
936	1398	525
937	1400	523
938	1401	522
939	1403	521
940	1405	519
941	1406	518
942	1408	516
943	1408	514
944	1410	513
945	1411	511
946	1413	510
947	1414	508
948	1416	507
949	1418	506
950	1419	504
951	1421	503
952	1422	501
953	1424	500
954	1425	498
955	1427	497
956	1429	495
957	1430	494
958	1432	492
959	1434	491
960	1435	490
961	1437	488
962	1438	487
963	1440	485
964	1441	483
965	1442	482
966	1444	480
967	1445	479
968	1445	477
969	1447	475
970	1448	474
971	1449	472
972	1451	471
973	1452	469
974	1453	468
975	1455	466
976	1456	465
977	1457	463
978	1459	462
979	1460	460
980	1461	458
981	1463	457
982	1464	455
983	1465	454
984	1466	452
985	1468	451
986	1469	449
987	1471	448
988	1473	446
989	1474	445
990	1476	444
991	1478	442
992	1480	441
993	1481	439
994	1483	438
995	1484	436
996	1486	435
997	1488	433
998	1489	432
999	1491	430
1000	1492	429
1001	1494	428
1002	1496	426
1003	1497	425
1004	1499	423
1005	1500	422
1006	1502	420
1007	1504	419
1008	1505	417
1009	1507	416
1010	1509	415
1011	1510	413
1012	1512	412
1013	1514	410
1014	1515	409
1015	1517	407
1016	1518	406
1017	1520	404
1018	1522	403
1019	1523	401
1020	1525	400
1021	1527	398
1022	1528	397
1023	1530	395
1024	1531	394
1025	1533	393
1026	1535	391
1027	1536	390
1028	1537	388
1029	1539	387
1030	1541	385
1031	1542	384
1032	1544	382
1033	1546	381
1034	1547	379
1035	1549	378
1036	1550	376
1037	1552	375
1038	1554	373
1039	1555	372
1040	1557	371
1041	1559	369
1042	1560	368
1043	1562	366
1044	1563	364
1045	1564	363
1046	1566	362
1047	1568	360
1048	1569	359
1049	1571	357
1050	1572	356
1051	1574	354
1052	1576	353
1053	1577	351
1054	1579	350
1055	1580	348
1056	1581	347
1057	1582	345
1058	1584	344
1059	1586	342
1060	1587	341
1061	1589	339
1062	1591	338
1063	1592	336
1064	1594	335
1065	1595	333
1066	1597	332
1067	1598	330
1068	1599	329
1069	1601	327
1070	1602	326
1071	1604	324
1072	1605	323
1073	1606	321
1074	1608	320
1075	1609	318
1076	1611	317
1077	1612	315
1078	1613	314
1079	1615	312
1080	1616	311
1081	1617	309
1082	1619	308
1083	1620	306
1084	1622	304
1085	1623	303
1086	1623	301
1087	1625	300
1088	1627	298
1089	1629	297
1090	1631	296
1091	1632	294
1092	1634	293
1093	1636	291
1094	1637	290
1095	1639	288
1096	1640	287
1097	1642	285
1098	1644	284
1099	1645	282
1100	1647	281
1101	1648	279
1102	1650	278
1103	1652	276
1104	1654	275
1105	1655	273
1106	1657	272
1107	1658	270
1108	1660	269
1109	1662	268
1110	1663	266
1111	1665	265
1112	1666	263
1113	1668	262
1114	1670	260
1115	1671	259
1116	1673	257
1117	1675	256
1118	1676	254
1119	1676	253
1120	1678	251
1121	1680	250
1122	1680	248
1123	1681	246
1124	1683	245
1125	1685	243
1126	1686	242
1127	1688	240
1128	1690	239
1129	1691	238
1130	1692	236
1131	1693	234
1132	1693	233
1133	1695	231
1134	1697	230
1135	1698	228
1136	1700	227
1137	1701	225
1138	1702	224
1139	1703	222
1140	1705	221
1141	1707	219
1142	1708	218
1143	1709	216
1144	1711	215
1145	1712	213
1146	1713	212
1147	1714	210
1148	1715	208
1149	1715	207
1150	1717	205
1151	1718	204
1152	1720	202
1153	1722	201
1154	1723	199
1155	1725	198
1156	1726	197
1157	1728	195
1158	1730	194
1159	1731	192
1160	1733	191
1161	1735	189
1162	1736	188
1163	1738	186
1164	1740	185
1165	1741	183
1166	1743	182
1167	1745	180
1168	1747	179
1169	1747	177
1170	1749	176
1171	1751	174
1172	1752	173
1173	1754	171
1174	1755	170
1175	1757	168
1176	1758	167
1177	1759	165
1178	1761	164
1179	1763	162
1180	1764	161
1181	1765	159
1182	1767	158
1183	1768	156
1184	1769	155
1185	1770	153
1186	1771	152
1187	1773	150
1188	1774	149
1189	1776	147
1190	1777	146
1191	1779	144
1192	1780	143
1193	1781	141
1194	1782	140
1195	1784	138
1196	1785	137
1197	1787	135
1198	1789	134
1199	1791	132
1200	1793	131
1201	1795	129
1202	1796	128
1203	1798	126
1204	1799	125
1205	1800	123
1206	1802	122
1207	1804	120
1208	1804	119
1209	1806	117
1210	1807	116
1211	1809	114
1212	1811	113
1213	1812	111
1214	1814	110
1215	1815	109
1216	1817	107
1217	1819	106
