iter	RMSE
0	120.8992336
1	116.3833268
2	111.8188911
3	107.4031606
4	103.5178214
5	99.46117996
6	95.5901351
7	91.99890913
8	88.36072599
9	85.09700457
10	82.06046382
11	79.18349851
12	76.37860183
13	73.79996494
14	71.39623008
15	69.19877295
16	67.72279442
17	65.6148023
18	63.51181305
19	61.51987402
20	59.57253338
21	57.78461312
22	56.05826468
23	54.41854522
24	52.81948831
25	51.28259777
26	49.99313315
27	48.64296076
28	47.40810077
29	46.23272747
30	45.06948638
31	44.0302212
32	43.11486668
33	42.41751441
34	41.48536997
35	40.70659247
36	39.7492753
37	38.81528989
38	38.00514572
39	37.19568116
40	36.58759636
41	35.87697725
42	35.20680992
43	34.48096455
44	33.81638821
45	33.2037962
46	32.55524034
47	32.04146728
48	31.51867582
49	31.03809907
50	30.48044086
51	29.99246235
52	29.58020789
53	29.11803889
54	28.76397996
55	28.40945155
56	28.00547259
57	27.62616094
58	27.24467069
59	26.92627314
60	26.5595794
61	26.11624598
62	25.75344682
63	25.46778151
64	25.22013086
65	24.89271185
66	24.52188472
67	24.28066126
68	24.02804385
69	23.70666574
70	23.359842
71	23.10032862
72	22.87385791
73	22.5656728
74	22.28318096
75	22.06001887
76	21.74067182
77	21.61940253
78	21.38976611
79	21.09519973
80	20.89738414
81	20.68623484
82	20.44281974
83	20.22442705
84	19.98777736
85	19.77234058
86	19.65679331
87	19.41780055
88	19.24277002
89	19.04378491
90	18.89422394
91	18.72343911
92	18.54794577
93	18.44505109
94	18.23946993
95	18.06736118
96	17.83516489
97	17.7789767
98	17.60026522
99	17.42692352
100	17.20061324
101	17.036526
102	16.92755033
103	16.70280461
104	16.49564649
105	16.36283533
106	16.26587505
107	16.1267599
108	15.92062538
109	15.77415774
110	15.69091856
111	15.54720969
112	15.43164258
113	15.2986016
114	15.18880459
115	15.09155993
116	14.97169441
117	14.87475619
118	14.73344073
119	14.56251333
120	14.4488087
121	14.37764305
122	14.2324869
123	14.13783369
124	13.96727725
125	13.95708591
126	13.80394117
127	13.61762809
128	13.48356601
129	13.35333987
130	13.287204
131	13.2048402
132	13.09830478
133	12.99441225
134	12.86325119
135	12.72724642
136	12.6304091
137	12.57440725
138	12.51507446
139	12.3831529
140	12.27554737
141	12.14525609
142	12.01333204
143	11.94214864
144	11.83345785
145	11.73641034
146	11.67001902
147	11.62030469
148	11.53973798
149	11.4458982
150	11.40166632
151	11.25222282
152	11.19138811
153	11.11223932
154	11.0617556
155	10.94180295
156	10.83045383
157	10.76317386
158	10.69591746
159	10.5964789
160	10.50815759
161	10.40805529
162	10.33038392
163	10.29762255
164	10.19457137
165	10.10494986
166	10.03597835
167	9.935045737
168	9.85118154
169	9.766535052
170	9.684689524
171	9.65064666
172	9.569953443
173	9.523970084
174	9.448641801
175	9.373678027
176	9.325220468
177	9.25548332
178	9.18517483
179	9.11750972
180	9.043234909
181	8.94168425
182	8.878869503
183	8.807176522
184	8.761659932
185	8.714641201
186	8.642267559
187	8.551656409
188	8.479313953
189	8.442484763
190	8.417490976
191	8.349146045
192	8.33086826
193	8.270483896
194	8.198172228
195	8.150897199
196	8.079199928
197	8.019265854
198	7.9259966
199	7.895538205
200	7.851780473
201	7.810706365
202	7.743046302
203	7.6879148
204	7.624392846
205	7.550306752
206	7.503821803
207	7.481252724
208	7.397404283
209	7.325895312
210	7.272328485
211	7.23990453
212	7.195698935
213	7.138114734
214	7.096005823
215	7.049607047
216	7.027914597
217	7.000578615
218	6.939957327
219	6.884836885
220	6.808206293
221	6.782386493
222	6.732928229
223	6.689749822
224	6.65831001
225	6.622393936
226	6.57084993
227	6.547032362
228	6.503406848
229	6.442397751
230	6.376792334
231	6.335298808
232	6.308663697
233	6.278821703
234	6.238327092
235	6.216372165
236	6.173803036
237	6.15925042
238	6.124512062
239	6.061674948
240	5.989602476
241	5.943772155
242	5.875358555
243	5.852475748
244	5.802065454
245	5.753047384
246	5.721768748
247	5.674644728
248	5.65810553
249	5.629492229
250	5.57358409
251	5.541594461
252	5.515753331
253	5.492014575
254	5.470418219
255	5.457371258
256	5.408690957
257	5.386052676
258	5.358999157
259	5.340055683
260	5.303025895
261	5.259051909
262	5.2173831
263	5.181007385
264	5.161718769
265	5.117219666
266	5.081107887
267	5.041867228
268	5.002722708
269	4.971763562
270	4.938065949
271	4.916456715
272	4.881295197
273	4.850135155
274	4.820240605
275	4.78630848
276	4.766708309
277	4.736873228
278	4.682516484
279	4.657096599
280	4.644886967
281	4.623453624
282	4.601348464
283	4.560223712
284	4.533197085
285	4.486189755
286	4.453354352
287	4.426979754
288	4.388445564
289	4.366064368
290	4.34752004
291	4.318307397
292	4.276518236
293	4.235931452
294	4.208743015
295	4.190943745
296	4.163859262
297	4.134446022
298	4.112854135
299	4.088812861
300	4.067594649
301	4.055281832
302	4.020281971
303	3.994183143
304	3.984001676
305	3.967142211
306	3.916968734
307	3.892711816
308	3.871745158
309	3.839457694
310	3.83360092
311	3.802844251
312	3.783929515
313	3.762507658
314	3.734274625
315	3.697503406
316	3.680660242
317	3.657075378
318	3.625836843
319	3.613235802
320	3.585360639
321	3.564707577
322	3.560688611
323	3.546941776
324	3.524347252
325	3.508531528
326	3.491848586
327	3.488150106
328	3.468650445
329	3.460514957
330	3.450315205
331	3.434249797
332	3.410077689
333	3.383827491
334	3.364640553
335	3.33822727
336	3.32125789
337	3.314731567
338	3.285753844
339	3.26022264
340	3.233259822
341	3.226684072
342	3.192541335
343	3.187309033
344	3.167007577
345	3.153317368
346	3.128430715
347	3.103992583
348	3.081979235
349	3.072223329
350	3.045596986
351	3.017789488
352	3.014423996
353	2.98835055
354	2.967018812
355	2.934140754
356	2.924429659
357	2.89923159
358	2.882932737
359	2.857988852
360	2.841196981
361	2.824394621
362	2.797362487
363	2.772805282
364	2.748065133
365	2.726050319
366	2.708027435
367	2.697351239
368	2.684525095
369	2.664180094
370	2.640481909
371	2.623816852
372	2.605717942
373	2.58426456
374	2.558899001
375	2.542719012
376	2.525139839
377	2.509064797
378	2.493809627
379	2.476580967
380	2.468952017
381	2.448791066
382	2.432113812
383	2.415185441
384	2.397371111
385	2.381951606
386	2.365514731
387	2.352302152
388	2.335991849
389	2.327952539
390	2.317158043
391	2.305957958
392	2.294944827
393	2.284321041
394	2.278925116
395	2.261702662
396	2.250468582
397	2.244544149
398	2.225013579
399	2.21288806
400	2.201489346
401	2.195851708
402	2.176709831
403	2.157724665
404	2.13653593
405	2.130567329
406	2.114294101
407	2.097072322
408	2.081413933
409	2.070749657
410	2.058931496
411	2.040330952
412	2.028237897
413	2.011804004
414	1.996086242
415	1.984934432
416	1.971342497
417	1.958448124
418	1.9478422
419	1.937892195
420	1.929308853
421	1.918228795
422	1.912481395
423	1.902831188
424	1.890627253
425	1.877645907
426	1.861948454
427	1.847016683
428	1.833328805
429	1.824438042
430	1.820508415
431	1.805842421
432	1.798959625
433	1.78680086
434	1.778798754
435	1.772397067
436	1.756980711
437	1.752384677
438	1.73644326
439	1.726518643
440	1.713477911
441	1.710016319
442	1.706485766
443	1.700994208
444	1.691420493
445	1.682884013
446	1.664890727
447	1.64866716
448	1.630606608
449	1.615029232
450	1.609573434
451	1.60016633
452	1.592893539
453	1.585781424
454	1.575601953
455	1.568289657
456	1.560569072
457	1.551987711
458	1.546923931
459	1.5370764
460	1.526560659
461	1.517941124
462	1.499915193
463	1.486650045
464	1.482486409
465	1.474847804
466	1.467772119
467	1.461734179
468	1.454960813
469	1.442160873
470	1.436780652
471	1.424232838
472	1.416862718
473	1.411227858
474	1.400218112
475	1.38861767
476	1.38695659
477	1.376714525
478	1.370062646
479	1.364310891
480	1.353394884
481	1.343781218
482	1.332960308
483	1.326507639
484	1.320053338
485	1.313208377
486	1.301710622
487	1.291005985
488	1.280668787
489	1.27197963
490	1.265883182
491	1.26275992
492	1.258781005
493	1.252610076
494	1.246031917
495	1.234713814
496	1.223538306
497	1.218187061
498	1.209953579
499	1.204547985
500	1.199912976
501	1.18894284
502	1.184867758
503	1.176491161
504	1.166127909
505	1.153887784
506	1.145402246
507	1.138149225
508	1.130577803
509	1.121628739
510	1.116602179
511	1.112823088
512	1.107700811
513	1.100122846
514	1.096211803
515	1.093439681
516	1.089688038
517	1.08301795
518	1.075214004
519	1.067023465
520	1.061135405
521	1.054579485
522	1.047018353
523	1.043330343
524	1.038715854
525	1.03231987
526	1.026382025
527	1.019616568
528	1.01432754
529	1.011044762
530	1.002023363
531	0.9979327222
532	0.9912374882
533	0.9825695046
534	0.9780197502
535	0.9697017576
536	0.964380458
537	0.9589262386
538	0.9517383652
539	0.9459421469
540	0.9395713167
541	0.931773812
542	0.9273987477
543	0.9214069989
544	0.9151197281
545	0.9079633866
546	0.9037720079
547	0.9002327241
548	0.8932267906
549	0.8920592981
550	0.8874867054
551	0.8827526138
552	0.8773091299
553	0.8735411216
554	0.8684624513
555	0.8666195778
556	0.8619889737
557	0.8544105204
558	0.8492693773
559	0.840013469
560	0.8344714364
561	0.8288334977
562	0.825182058
563	0.8202884582
564	0.8146087218
565	0.8108910142
566	0.8024499453
